id,amenity,amenity_penetration,market_category
795048479078812597,Outdoor dining area,0.11412185381257546,Diferencial
1274585040438826200,Stove,0.27823441998699733,Diferencial
20864193,Coffee maker: drip coffee maker,0.11864957741246401,Diferencial
42096144,Wine glasses,0.3089997213708554,Padrão
53101300,Shared beach access,0.10536825485279093,Diferencial
4226905,Oven,0.2764001114516578,Diferencial
1048447599442051673,Iron,0.5853301755363611,Padrão
1105899425133231011,Building staff,0.11693136435404476,Diferencial
13697953,Washer,0.43631002136156777,Padrão
1257430824809325325,Self check-in,0.35436983375127706,Padrão
1027584979759244753,First aid kit,0.13604067985511284,Diferencial
1280905111795254050,Outdoor shower,0.13555307885204793,Diferencial
9406783,Ceiling fan,0.21814340113309186,Diferencial
47486487,Dedicated workspace,0.4535385901365283,Padrão
17810246,Private entrance,0.15224760843317545,Diferencial
1107228693870937449,Extra pillows and blankets,0.3539518900343643,Padrão
986167940808402411,Room-darkening shades,0.4336862635831708,Padrão
1395751106542334570,Wifi,0.9043141079223553,Essencial
1182353023954337592,Bed linens,0.604857434754342,Padrão
1055789279787531588,Cleaning products,0.28715055261447014,Diferencial
1006534838716704934,Hot water,0.6484164576948082,Padrão
553599210100904494,Courtyard view,0.02577319587628866,Nicho
1273720105885222503,TV with standard cable,0.08618928206557072,Nicho
29104627,Refrigerator,0.470349215194576,Padrão
21646504,Fire extinguisher,0.24164112566174423,Diferencial
1506800682935305989,Dedicated workspace,0.4535385901365283,Padrão
1480490181496035132,Hangers,0.5820330639918269,Padrão
1062249484167325987,Dishes and silverware,0.6192068357016811,Padrão
1229280249957185483,Hot water,0.6484164576948082,Padrão
48207072,Bed linens,0.604857434754342,Padrão
1321732599156157182,Room-darkening shades,0.4336862635831708,Padrão
1441387067639578433,Washer,0.43631002136156777,Padrão
997030880559029963,Pets allowed,0.2483050060369648,Diferencial
53404265,Hot water,0.6484164576948082,Padrão
996242283768356393,Hot water,0.6484164576948082,Padrão
1145562031403769344,Wifi,0.9043141079223553,Essencial
1190701172542000100,Ethernet connection,0.1118696015603232,Diferencial
1989432,Smoking allowed,0.19536546856134485,Diferencial
664613500258539473,Wifi,0.9043141079223553,Essencial
1237748850365536813,Dining table,0.3656543141079224,Padrão
1050784960106402750,Oven,0.2764001114516578,Diferencial
43301566,Bed linens,0.604857434754342,Padrão
709160507895106010,Pets allowed,0.2483050060369648,Diferencial
1295005361678342580,Gas stove,0.06415436054611312,Nicho
1038019955184231859,Portable fans,0.1580988204699545,Diferencial
1192023795331428920,Bed linens,0.604857434754342,Padrão
900019034442361758,Shared beach access,0.10536825485279093,Diferencial
4764369,Wifi,0.9043141079223553,Essencial
30068312,High chair,0.020130955697966007,Nicho
1050135501713402935,Air conditioning,0.6235720256338813,Padrão
42971065,Long term stays allowed,0.32051639268134113,Padrão
7563665,Paid parking lot off premises,0.056166991734002046,Nicho
41078038,Cleaning available during stay,0.0638292932107365,Nicho
899866479786463765,Air conditioning,0.6235720256338813,Padrão
558771054860208113,TV,0.6239203120646419,Padrão
781120527402161576,Free parking on premises,0.2803009194761772,Diferencial
1364636082829876442,Clothing storage: closet,0.04005293953747562,Nicho
32671603,TV,0.6239203120646419,Padrão
1354589666084904573,Outdoor dining area,0.11412185381257546,Diferencial
46865252,Kitchen,0.9053589672146373,Essencial
1009431182853397587,Freezer,0.22167270363146652,Diferencial
823812882989946062,Fire extinguisher,0.24164112566174423,Diferencial
1318745506594960434,Air conditioning,0.6235720256338813,Padrão
2258247,Dedicated workspace,0.4535385901365283,Padrão
1466320447978510235,Free street parking,0.174793350051082,Diferencial
13988617,TV,0.6239203120646419,Padrão
1064132891094039097,TV,0.6239203120646419,Padrão
1339317760445134110,Wifi,0.9043141079223553,Essencial
1290148006151114814,Blender,0.3396489272777933,Padrão
1349257505207858028,Extra pillows and blankets,0.3539518900343643,Padrão
39630358,Bay view,0.017344664251880748,Nicho
45689184,Toaster,0.20544255595801988,Diferencial
22451203,Dedicated workspace,0.4535385901365283,Padrão
927332658199123161,"Clothing storage: walk-in closet, closet, and wardrobe",0.0008823256245936658,Nicho
47267906,Dishes and silverware,0.6192068357016811,Padrão
1436329577653875230,Iron,0.5853301755363611,Padrão
1406563214791996580,Blender,0.3396489272777933,Padrão
941915513814566968,AC - split type ductless system,0.13107179344292746,Diferencial
1213063773014650163,Private patio or balcony,0.08943995541933686,Nicho
1361595106473057599,Wine glasses,0.3089997213708554,Padrão
47744380,Beach access,0.2508126683384415,Diferencial
22846088,Coffee maker,0.27974366118696015,Diferencial
825441208583495281,Hair dryer,0.442788148973716,Padrão
1144228211188567453,Freezer,0.22167270363146652,Diferencial
957771236488125846,Keypad,0.09243521872387851,Nicho
942655815665376025,Room-darkening shades,0.4336862635831708,Padrão
48953039,Iron,0.5853301755363611,Padrão
12848815,Hot water kettle,0.1421705210365004,Diferencial
1066855862200202814,Dishes and silverware,0.6192068357016811,Padrão
1160947980374014435,Exterior security cameras on property,0.25622271756292375,Diferencial
38373105,Microwave,0.5320191325345964,Padrão
9860862,Kitchen,0.9053589672146373,Essencial
1236743000512097957,Outdoor shower,0.13555307885204793,Diferencial
52056164,AC - split type ductless system,0.13107179344292746,Diferencial
1500251653822279446,TV,0.6239203120646419,Padrão
12144139,Private hot tub,0.007267576855205721,Nicho
494903,Free washer – In building,0.004109779882975759,Nicho
1495842384065027979,Dining table,0.3656543141079224,Padrão
696395168921964116,Luggage dropoff allowed,0.18960713290610198,Diferencial
1509030159871706554,Self check-in,0.35436983375127706,Padrão
19997528,Free parking on premises,0.2803009194761772,Diferencial
13203606,Kitchen,0.9053589672146373,Essencial
647560791736353532,Elevator,0.4857434754341971,Padrão
12400895,Long term stays allowed,0.32051639268134113,Padrão
948662932409263612,Wine glasses,0.3089997213708554,Padrão
1275362979870147015,Bed linens,0.604857434754342,Padrão
1311660776622520066,Ceiling fan,0.21814340113309186,Diferencial
32627507,Host greets you,0.19362403640754156,Diferencial
1421710776324312520,Outdoor furniture,0.08117395746261725,Nicho
1355972361600381008,Dryer – In building,0.0011609547692021918,Nicho
718688974242833053,Hot water,0.6484164576948082,Padrão
1044278351156899976,Kitchen,0.9053589672146373,Essencial
38551024,Bed linens,0.604857434754342,Padrão
54214127,Dishes and silverware,0.6192068357016811,Padrão
19309704,Elevator,0.4857434754341971,Padrão
51552651,Building staff,0.11693136435404476,Diferencial
1313243634130298634,Mini fridge,0.10636667595430482,Diferencial
1410460,Game console: PS4,0.0011145165784341043,Nicho
42465899,Air conditioning,0.6235720256338813,Padrão
666716958504221293,Self check-in,0.35436983375127706,Padrão
818590317122441882,Cleaning products,0.28715055261447014,Diferencial
1217357518344957646,Wifi,0.9043141079223553,Essencial
1234699064648738976,Trash compactor,0.05300919476177208,Nicho
699999717114624689,Granado body soap,0.0032042351629980497,Nicho
792148275037668943,Pets allowed,0.2483050060369648,Diferencial
42659184,Children’s dinnerware,0.03311043001764651,Nicho
1407589181032878879,Shampoo,0.1610708646791121,Diferencial
35580856,Free parking on premises,0.2803009194761772,Diferencial
6835820,Hangers,0.5820330639918269,Padrão
584919114900808588,Clothing storage: wardrobe,0.16789727872202098,Diferencial
1146623678267034894,Hot water,0.6484164576948082,Padrão
706513644588039306,Body soap,0.25013931457230426,Diferencial
666716958504221293,Refrigerator,0.470349215194576,Padrão
286677,Iron,0.5853301755363611,Padrão
2844615,Backyard,0.04534689328503762,Nicho
767183431575261975,Oven,0.2764001114516578,Diferencial
827010903218398551,Coffee,0.1769527259217981,Diferencial
1318779033095600726,Elevator,0.4857434754341971,Padrão
942696317418598743,Blender,0.3396489272777933,Padrão
1342797784821210801,Refrigerator,0.470349215194576,Padrão
949253062404181074,City skyline view,0.0567242500232191,Nicho
45269057,Dishes and silverware,0.6192068357016811,Padrão
1468274787791407014,Blender,0.3396489272777933,Padrão
877607887928632145,Outdoor dining area,0.11412185381257546,Diferencial
22204151,Essentials,0.5129794743196805,Padrão
1013947942098363632,Essentials,0.5129794743196805,Padrão
1069847597110526978,Dining table,0.3656543141079224,Padrão
1325233017305000280,Fire extinguisher,0.24164112566174423,Diferencial
669473361346690434,Coffee maker,0.27974366118696015,Diferencial
40275227,Elevator,0.4857434754341971,Padrão
641276156830344902,Building staff,0.11693136435404476,Diferencial
1216819800666166467,Beach access,0.2508126683384415,Diferencial
1100651748560537069,Body soap,0.25013931457230426,Diferencial
3971722,Beach access,0.2508126683384415,Diferencial
1429823680864982019,Hot water,0.6484164576948082,Padrão
12132802,Smoking allowed,0.19536546856134485,Diferencial
13882768,Kitchen,0.9053589672146373,Essencial
1483314903761565435,Outdoor shower,0.13555307885204793,Diferencial
24543288,High chair,0.020130955697966007,Nicho
810968376757336150,Hot water,0.6484164576948082,Padrão
995575652770221544,Long term stays allowed,0.32051639268134113,Padrão
1010137531938380689,Hot water,0.6484164576948082,Padrão
53141278,Dishes and silverware,0.6192068357016811,Padrão
52555937,Long term stays allowed,0.32051639268134113,Padrão
1035330645254846891,Wine glasses,0.3089997213708554,Padrão
1221169702858143552,Exterior security cameras on property,0.25622271756292375,Diferencial
1074595,Pool,0.1463963963963964,Diferencial
1313932525859757909,Hot water,0.6484164576948082,Padrão
50490454,Ethernet connection,0.1118696015603232,Diferencial
1274049954769908988,Mini fridge,0.10636667595430482,Diferencial
667193714858199314,Refrigerator,0.470349215194576,Padrão
786157686257870176,"Private indoor pool - available all year, open 24 hours",0.0010448592922819727,Nicho
1136928182655526476,Wifi,0.9043141079223553,Essencial
1424725070334314765,Wine glasses,0.3089997213708554,Padrão
821672187738594951,Outdoor dining area,0.11412185381257546,Diferencial
1085503748326195393,Essentials,0.5129794743196805,Padrão
2997637,Kitchen,0.9053589672146373,Essencial
764443622766062598,Washer,0.43631002136156777,Padrão
2273956,Hot water,0.6484164576948082,Padrão
773095726468446402,Body soap,0.25013931457230426,Diferencial
1289948774830279382,Dining table,0.3656543141079224,Padrão
2946520,Eletrolux refrigerator,0.006965728615213151,Nicho
2298212,Shared beach access,0.10536825485279093,Diferencial
21458294,Hangers,0.5820330639918269,Padrão
783908541076974723,Paid crib - available upon request,0.005177858270641776,Nicho
1056130604589756538,Long term stays allowed,0.32051639268134113,Padrão
40948986,City skyline view,0.0567242500232191,Nicho
1290814704325763946,BBQ grill,0.11121946688956998,Diferencial
904213104211622532,Pack ’n play/Travel crib,0.016787405962663694,Nicho
25430058,Hair dryer,0.442788148973716,Padrão
1082043552275758193,Hot water,0.6484164576948082,Padrão
11148802,Dishwasher,0.03872945110058512,Nicho
1308242556015438431,Free parking garage on premises – 1 space,0.018064456208786106,Nicho
754225940446816752,Private patio or balcony,0.08943995541933686,Nicho
937880084129628555,Air conditioning,0.6235720256338813,Padrão
1347084743248904735,Coffee,0.1769527259217981,Diferencial
5240882,Single level home,0.03341227825763908,Nicho
51247384,Ethernet connection,0.1118696015603232,Diferencial
41869906,Iron,0.5853301755363611,Padrão
820312568917109739,Building staff,0.11693136435404476,Diferencial
12904614,Lockbox,0.054355902294046625,Nicho
909430687551742006,Hot water,0.6484164576948082,Padrão
1222733417177952703,Lock on bedroom door,0.12006594223089069,Diferencial
1236560081736790911,Ping pong table,0.017135692393424353,Nicho
1058675467731572981,Cleaning products,0.28715055261447014,Diferencial
1216218733840740173,Wifi,0.9043141079223553,Essencial
1312376420889679530,Extra pillows and blankets,0.3539518900343643,Padrão
7563665,Kitchen,0.9053589672146373,Essencial
1472760452060037201,Hangers,0.5820330639918269,Padrão
1242690881109958371,Baking sheet,0.14149716727036316,Diferencial
1365866469577779195,Free street parking,0.174793350051082,Diferencial
1411762580189281546,Wifi,0.9043141079223553,Essencial
53809755,Clothing storage,0.20212222531810162,Diferencial
673834999646856862,Air conditioning,0.6235720256338813,Padrão
1441602456788788510,Hangers,0.5820330639918269,Padrão
32017667,Beach essentials,0.045602303334262094,Nicho
1079913747101048371,Garden view,0.03074208228847404,Nicho
631065236771453260,Bed linens,0.604857434754342,Padrão
31512921,Extra pillows and blankets,0.3539518900343643,Padrão
966165427450781070,Pets allowed,0.2483050060369648,Diferencial
1155045062067027991,Toaster,0.20544255595801988,Diferencial
853368018507767642,Washer,0.43631002136156777,Padrão
53887393,Coffee maker,0.27974366118696015,Diferencial
1400230795530765544,Building staff,0.11693136435404476,Diferencial
30930225,Kitchen,0.9053589672146373,Essencial
1476921189707602387,Dedicated workspace,0.4535385901365283,Padrão
1330079344969786683,Elevator,0.4857434754341971,Padrão
922645593159290251,Body soap,0.25013931457230426,Diferencial
43301944,Dedicated workspace,0.4535385901365283,Padrão
16476688,Wifi,0.9043141079223553,Essencial
1305864858733804841,Lock on bedroom door,0.12006594223089069,Diferencial
31851928,Clothing storage: wardrobe,0.16789727872202098,Diferencial
983583546315647430,Kitchen,0.9053589672146373,Essencial
1018346335525105152,Free dryer – In unit,0.04225875359895979,Nicho
645768573360138387,Cleaning available during stay,0.0638292932107365,Nicho
13156016,Wifi,0.9043141079223553,Essencial
1056396475959551964,Kitchen,0.9053589672146373,Essencial
1274026535462231698,Fast wifi – 66 Mbps,0.0001857527630723507,Nicho
795153515885169113,Body soap,0.25013931457230426,Diferencial
682541257177498690,Wifi,0.9043141079223553,Essencial
13865698,Dishes and silverware,0.6192068357016811,Padrão
814046054895010915,Washer,0.43631002136156777,Padrão
1400088559634750755,Drying rack for clothing,0.343758707160769,Padrão
758076948853442072,Ceiling fan,0.21814340113309186,Diferencial
316652,Hangers,0.5820330639918269,Padrão
1309484725751169257,Refrigerator,0.470349215194576,Padrão
652010185198402020,Smoke alarm,0.13288288288288289,Diferencial
549846347859506843,Lockbox,0.054355902294046625,Nicho
9492639,Beach view,0.06016067614005759,Nicho
1020594041193205143,Extra pillows and blankets,0.3539518900343643,Padrão
927427621060310370,Beach access – Beachfront,0.038009659143679764,Nicho
12722802,Refrigerator,0.470349215194576,Padrão
1363787178737236234,Hammock,0.05721185102628402,Nicho
1300251135750958762,Air conditioning,0.6235720256338813,Padrão
5205127,Free parking on premises,0.2803009194761772,Diferencial
1461341646227309778,Microwave,0.5320191325345964,Padrão
1050039677266537052,Refrigerator,0.470349215194576,Padrão
1044292362504155058,Refrigerator,0.470349215194576,Padrão
26597226,Coffee maker: drip coffee maker,0.11864957741246401,Diferencial
1198776882431111541,Cooking basics,0.5625290238692301,Padrão
1003704873172660602,Children’s books and toys,0.0190164391195319,Nicho
52109243,Baking sheet,0.14149716727036316,Diferencial
13006138,Cooking basics,0.5625290238692301,Padrão
1336409286671697540,Clothing storage: closet,0.04005293953747562,Nicho
1115373952770713094,Outdoor shower,0.13555307885204793,Diferencial
1303834274172552239,Shower gel,0.05461131234327111,Nicho
1284897865653230921,Wifi,0.9043141079223553,Essencial
605760391870494277,Hot water kettle,0.1421705210365004,Diferencial
1465302568161451019,Wifi,0.9043141079223553,Essencial
21645715,Pack ’n play/Travel crib - always at the listing,0.0021593758707160768,Nicho
1442817993722218785,Oven,0.2764001114516578,Diferencial
9258479,Room-darkening shades,0.4336862635831708,Padrão
1054416076086309273,Oven,0.2764001114516578,Diferencial
1262486685015215896,Coffee maker,0.27974366118696015,Diferencial
1386297452667898971,Hot water,0.6484164576948082,Padrão
1052643302673977906,Hot water,0.6484164576948082,Padrão
767183431575261975,Other stove,0.013954676325810347,Nicho
1384842861989948624,TV,0.6239203120646419,Padrão
1237678201819312899,Toaster,0.20544255595801988,Diferencial
1419548493163372593,Body soap,0.25013931457230426,Diferencial
1227416427920879021,BBQ grill,0.11121946688956998,Diferencial
1469118822353329585,Air conditioning,0.6235720256338813,Padrão
1328202697874713903,Drying rack for clothing,0.343758707160769,Padrão
1234071385062019783,Hangers,0.5820330639918269,Padrão
760202860672130846,Bed linens,0.604857434754342,Padrão
9246392,Hot water,0.6484164576948082,Padrão
1357591209951094571,Stove,0.27823441998699733,Diferencial
26364302,Hangers,0.5820330639918269,Padrão
1351754034259185746,Kitchen,0.9053589672146373,Essencial
573333583923297403,Self check-in,0.35436983375127706,Padrão
18187383,Freezer,0.22167270363146652,Diferencial
1452826619724357029,Hangers,0.5820330639918269,Padrão
38435651,Luggage dropoff allowed,0.18960713290610198,Diferencial
1256620987455030885,Outdoor shower,0.13555307885204793,Diferencial
1389246489857979588,Exterior security cameras on property,0.25622271756292375,Diferencial
1084142106927112217,Window guards,0.05807095755549364,Nicho
1503694982094187179,Conditioner,0.08196340670567474,Nicho
893444594738386429,Ceiling fan,0.21814340113309186,Diferencial
40988305,Refrigerator,0.470349215194576,Padrão
1040669581171195393,Stove,0.27823441998699733,Diferencial
53343377,Fast wifi – 218 Mbps,9.287638153617534e-05,Nicho
11208117,Portable fans,0.1580988204699545,Diferencial
1676910,HDTV with DVD player,4.643819076808767e-05,Nicho
10983914,Hangers,0.5820330639918269,Padrão
1126760703189473698,Hot water,0.6484164576948082,Padrão
1315416531376988426,Ethernet connection,0.1118696015603232,Diferencial
12805746,Paid parking off premises,0.0713987183059348,Nicho
724451220244966784,BBQ grill,0.11121946688956998,Diferencial
41869906,Room-darkening shades,0.4336862635831708,Padrão
1454316301814185030,Breakfast,0.017530417014953097,Nicho
720053998405123857,Hot water,0.6484164576948082,Padrão
1410225124363496179,Kitchen,0.9053589672146373,Essencial
882848811130360236,Dining table,0.3656543141079224,Padrão
1335709504349552580,Wifi,0.9043141079223553,Essencial
807070429413725580,Window AC unit,0.0970325996099192,Nicho
1245152945565798109,Wifi,0.9043141079223553,Essencial
1366839676587117114,Electrolux gas stove,0.005874431132163091,Nicho
1199395807175265056,Body soap,0.25013931457230426,Diferencial
1041963037190907106,Keypad,0.09243521872387851,Nicho
23054806,Smoking allowed,0.19536546856134485,Diferencial
782737950549019519,Blender,0.3396489272777933,Padrão
1079929677770274564,Hot water,0.6484164576948082,Padrão
1232863509233203560,"Shared hot tub - available all year, open specific hours",0.0032042351629980497,Nicho
14124466,Pets allowed,0.2483050060369648,Diferencial
16178461,Baking sheet,0.14149716727036316,Diferencial
992116114523211319,Clothing storage: walk-in closet,0.007081824092133371,Nicho
1071274125477885593,Coffee,0.1769527259217981,Diferencial
1039316372688589257,Dedicated workspace,0.4535385901365283,Padrão
1476787894118058504,Smart lock,0.09064734837930714,Nicho
51601078,Private patio or balcony,0.08943995541933686,Nicho
1405326735672955764,Hot water,0.6484164576948082,Padrão
27931316,Window AC unit,0.0970325996099192,Nicho
867682,Elevator,0.4857434754341971,Padrão
1013730106738379377,Host greets you,0.19362403640754156,Diferencial
1047201877615940623,First aid kit,0.13604067985511284,Diferencial
740108943675385672,Clothing storage: closet and wardrobe,0.013838580848890128,Nicho
788920958076380011,Refrigerator,0.470349215194576,Padrão
793433538025875867,Shared beach access,0.10536825485279093,Diferencial
38577365,Laundromat nearby,0.26903965821491593,Diferencial
22187148,Courtyard view,0.02577319587628866,Nicho
1025385256941044582,Hammock,0.05721185102628402,Nicho
14354211,Single level home,0.03341227825763908,Nicho
1285386542953837409,Stainless steel single oven,0.012491873316615585,Nicho
1455123563847448723,Blender,0.3396489272777933,Padrão
1132623600238711934,Wifi,0.9043141079223553,Essencial
1003740454753726849,Freezer,0.22167270363146652,Diferencial
603457824927662244,Stainless steel oven,0.021918826042537382,Nicho
704112815040242649,Dishes and silverware,0.6192068357016811,Padrão
1245022564708676099,Shared beach access,0.10536825485279093,Diferencial
1282846519314202494,Hot water,0.6484164576948082,Padrão
1237664340143599975,Barbecue utensils,0.03944924305749048,Nicho
52873460,Dining table,0.3656543141079224,Padrão
936204641884169439,Wifi,0.9043141079223553,Essencial
822913,Coffee maker,0.27974366118696015,Diferencial
13318365,Hot water kettle,0.1421705210365004,Diferencial
1341484961305910814,Room-darkening shades,0.4336862635831708,Padrão
1061443880749678624,Air conditioning,0.6235720256338813,Padrão
1311756140972192896,Blender,0.3396489272777933,Padrão
1239939521862144846,Hot water,0.6484164576948082,Padrão
1284921693134117787,First aid kit,0.13604067985511284,Diferencial
1365288877138958149,Air conditioning,0.6235720256338813,Padrão
14798760,Free washer – In unit,0.11029070307420823,Diferencial
