host_id,host_name,host_since,host_is_superhost,host_response_rate,host_acceptance_rate,calculated_host_listings_count,host_response_rate_prop,host_acceptance_rate_prop,host_quality_score,host_quality_segment
84350716,Katrina,2016-07-17,Regular,95.0,97.0,1,0.95,0.97,0.96,Excelente
4347269,Patrick,2012-12-07,Regular,100.0,46.0,2,1.0,0.46,0.73,Regular
499903412,Vanessa,2023-02-06,Regular,,,2,,,,
25961210,Katia,2015-01-11,Superhost,100.0,71.0,1,1.0,0.71,0.855,Bom
392769753,Amanda,2021-03-16,Superhost,100.0,99.0,7,1.0,0.99,0.995,Excelente
46944465,Ana Lucia,2015-10-19,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
15991909,Yona,2014-05-26,Superhost,100.0,73.0,3,1.0,0.73,0.865,Bom
91654021,Daniel,2016-08-24,Regular,94.0,39.0,151,0.94,0.39,0.665,Regular
8317871,Grace,2013-08-22,Regular,100.0,78.0,4,1.0,0.78,0.89,Bom
2911856,Joao,2012-07-12,Regular,100.0,58.0,1,1.0,0.58,0.79,Bom
51227019,Pedro,2015-12-13,Superhost,96.0,94.0,24,0.96,0.94,0.95,Excelente
139535065,Dayon Loiola Da,2017-07-09,Regular,80.0,90.0,1,0.8,0.9,0.8500000000000001,Bom
135863563,Ronaldo,2017-06-19,Regular,100.0,76.0,2,1.0,0.76,0.88,Bom
412334312,Raul,2021-07-11,Superhost,100.0,64.0,2,1.0,0.64,0.8200000000000001,Bom
151595472,Maria Clara,2017-09-21,Regular,,,1,,,,
102270529,Jacqueline,2016-11-02,Superhost,80.0,95.0,1,0.8,0.95,0.875,Bom
487101864,Vania,2022-11-09,Regular,100.0,100.0,2,1.0,1.0,1.0,Excelente
14057019,Flavio,2014-04-08,Regular,92.0,87.0,1,0.92,0.87,0.895,Bom
491514735,Marcos Antonio Souza Fernandes,2022-12-15,Regular,,,1,,,,
133951619,Najara,2017-06-07,Superhost,90.0,80.0,1,0.9,0.8,0.8500000000000001,Bom
492291708,Jacqueline,2022-12-21,Regular,91.0,95.0,14,0.91,0.95,0.9299999999999999,Excelente
392083762,Laurent,2021-03-11,Regular,94.0,79.0,51,0.94,0.79,0.865,Bom
499992733,Daniel,2023-02-07,Regular,,,1,,,,
447228656,Esmeralda,2022-02-28,Superhost,100.0,100.0,1,1.0,1.0,1.0,Excelente
499965362,Marieta,2023-02-07,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
308310448,Renata,2019-11-09,Superhost,100.0,94.0,1,1.0,0.94,0.97,Excelente
428276734,Marina,2021-10-20,Superhost,100.0,99.0,1,1.0,0.99,0.995,Excelente
112338583,Juliana,2017-01-19,Superhost,100.0,84.0,2,1.0,0.84,0.9199999999999999,Excelente
473492239,André,2022-08-05,Regular,77.0,78.0,36,0.77,0.78,0.775,Bom
134459336,Cristina,2017-06-11,Superhost,100.0,98.0,1,1.0,0.98,0.99,Excelente
327646461,Mônica,2020-01-15,Regular,,100.0,1,,1.0,,
199159949,Gabriela,2018-07-01,Regular,,50.0,2,,0.5,,
274768816,Sandro,2019-07-09,Regular,100.0,29.0,1,1.0,0.29,0.645,Regular
498153526,Luiz,2023-01-26,Superhost,100.0,100.0,2,1.0,1.0,1.0,Excelente
500034217,Ruth,2023-02-07,Regular,,22.0,1,,0.22,,
149407,Rico,2010-06-21,Superhost,100.0,46.0,23,1.0,0.46,0.73,Regular
33822860,Beatriz,2015-05-20,Regular,100.0,60.0,1,1.0,0.6,0.8,Bom
108908449,Alan,2016-12-28,Superhost,,100.0,1,,1.0,,
438794152,Renata,2022-01-03,Regular,71.0,96.0,1,0.71,0.96,0.835,Bom
158077588,Juan,2017-11-09,Superhost,100.0,100.0,1,1.0,1.0,1.0,Excelente
60131150,Leonardo,2016-02-23,Regular,,,1,,,,
476412379,Ysmael,2022-08-23,Regular,,,2,,,,
435313484,Vinícius,2021-12-09,Regular,100.0,100.0,2,1.0,1.0,1.0,Excelente
500004778,Violeta,2023-02-07,Superhost,100.0,94.0,1,1.0,0.94,0.97,Excelente
338717164,Pamy,2020-02-25,Regular,,0.0,2,,0.0,,
500131453,Cláudio,2023-02-08,Superhost,100.0,80.0,1,1.0,0.8,0.9,Bom
1415255,Edison,2011-11-16,Regular,90.0,50.0,2,0.9,0.5,0.7,Regular
499813975,Longboard Paradise,2023-02-06,Regular,,,6,,,,
500300052,Almir Pereira Barbosa,2023-02-09,Regular,,0.0,1,,0.0,,
297586207,Ana Clara,2019-09-24,Regular,0.0,0.0,1,0.0,0.0,0.0,Crítico
500311360,Luciana,2023-02-09,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
186108039,Jefferson,2018-04-24,Superhost,100.0,90.0,1,1.0,0.9,0.95,Excelente
47584281,Renato Silva Vianna,2015-10-27,Regular,51.0,22.0,160,0.51,0.22,0.365,Crítico
22018092,Stella,2014-10-01,Regular,,,1,,,,
10276843,Elaine,2013-11-26,Regular,50.0,26.0,1,0.5,0.26,0.38,Crítico
83799134,Gustavo,2016-07-14,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
103148327,Gabrielle,2016-11-09,Superhost,100.0,91.0,1,1.0,0.91,0.9550000000000001,Excelente
499353982,Prime,2023-02-03,Unknown,98.0,93.0,20,0.98,0.93,0.9550000000000001,Excelente
486241701,José Emílio,2022-11-03,Regular,14.0,0.0,1,0.14,0.0,0.07,Crítico
374790348,Sandra,2020-11-07,Regular,100.0,57.0,1,1.0,0.57,0.7849999999999999,Bom
2125175,Eliete,2012-04-12,Superhost,100.0,89.0,8,1.0,0.89,0.9450000000000001,Excelente
153149097,Marcelle,2017-10-03,Superhost,100.0,100.0,2,1.0,1.0,1.0,Excelente
493348793,Magia,2022-12-29,Regular,,98.0,3,,0.98,,
83990340,Claudia,2016-07-15,Superhost,100.0,81.0,2,1.0,0.81,0.905,Excelente
458772081,Cinara,2022-05-12,Regular,,,1,,,,
384444289,Daniel,2021-01-13,Superhost,100.0,64.0,8,1.0,0.64,0.8200000000000001,Bom
11933341,Petruza,2014-02-04,Superhost,100.0,36.0,2,1.0,0.36,0.6799999999999999,Regular
415894994,Thays,2021-07-29,Regular,50.0,50.0,1,0.5,0.5,0.5,Crítico
58857593,Luiza,2016-02-15,Superhost,95.0,92.0,6,0.95,0.92,0.935,Excelente
51770097,Elton,2015-12-19,Superhost,100.0,98.0,1,1.0,0.98,0.99,Excelente
34855983,Amelia,2015-06-02,Superhost,100.0,95.0,1,1.0,0.95,0.975,Excelente
278409325,Marlon,2019-07-23,Regular,13.0,8.0,2,0.13,0.08,0.10500000000000001,Crítico
499206207,Pousada,2023-02-02,Regular,,,2,,,,
1982737,Estadia,2012-03-21,Regular,98.0,67.0,124,0.98,0.67,0.825,Bom
340742131,Jorge Luiz,2020-03-08,Regular,,,2,,,,
432508893,Cristiane Fernandes Testoni,2021-11-18,Superhost,100.0,100.0,2,1.0,1.0,1.0,Excelente
499825678,Marsil,2023-02-06,Regular,,,1,,,,
110504534,Daniela De Fátima,2017-01-08,Superhost,100.0,99.0,14,1.0,0.99,0.995,Excelente
469701834,Andre,2022-07-15,Superhost,100.0,97.0,1,1.0,0.97,0.985,Excelente
234796877,Karla,2019-01-06,Regular,88.0,73.0,2,0.88,0.73,0.8049999999999999,Bom
157167660,Amanda,2017-11-02,Superhost,100.0,91.0,1,1.0,0.91,0.9550000000000001,Excelente
12080407,Natascha,2014-02-09,Superhost,100.0,89.0,2,1.0,0.89,0.9450000000000001,Excelente
383389398,Maris,2021-01-06,Regular,,,1,,,,
468723322,Villas In Brazil,2022-07-10,Superhost,100.0,59.0,28,1.0,0.59,0.7949999999999999,Bom
463917859,Solange,2022-06-12,Regular,,100.0,1,,1.0,,
241725705,Jose,2019-02-07,Superhost,100.0,76.0,1,1.0,0.76,0.88,Bom
42621817,Daniel,2015-08-26,Superhost,100.0,99.0,3,1.0,0.99,0.995,Excelente
500233418,Jonathan,2023-02-08,Superhost,100.0,92.0,1,1.0,0.92,0.96,Excelente
115205832,Thales,2017-02-06,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
446253282,Flavia,2022-02-21,Superhost,94.0,80.0,18,0.94,0.8,0.87,Bom
203267071,Elaine,2018-07-18,Regular,,,1,,,,
90639314,David,2016-08-18,Superhost,100.0,95.0,1,1.0,0.95,0.975,Excelente
455935629,Guilherme,2022-04-25,Regular,,100.0,1,,1.0,,
500480035,Alessandra,2023-02-10,Regular,100.0,78.0,1,1.0,0.78,0.89,Bom
500134755,Simone,2023-02-08,Superhost,100.0,100.0,1,1.0,1.0,1.0,Excelente
69505005,Izabela,2016-04-29,Regular,83.0,60.0,1,0.83,0.6,0.715,Regular
345910519,Alexandre,2020-05-10,Superhost,94.0,74.0,3,0.94,0.74,0.84,Bom
500203918,Paula Marcia,2023-02-08,Regular,100.0,67.0,1,1.0,0.67,0.835,Bom
432175826,Martin Ernesto,2021-11-16,Superhost,100.0,97.0,4,1.0,0.97,0.985,Excelente
500796169,Alina,2023-02-12,Superhost,90.0,100.0,1,0.9,1.0,0.95,Excelente
270380307,Priscilla,2019-06-21,Regular,100.0,99.0,13,1.0,0.99,0.995,Excelente
823800,Rafaella,2011-07-15,Superhost,100.0,97.0,23,1.0,0.97,0.985,Excelente
39863014,Nathalia,2015-07-28,Regular,,0.0,1,,0.0,,
500809245,Bráulio,2023-02-12,Regular,,0.0,1,,0.0,,
146981841,Márcio Eduardo,2017-08-21,Regular,50.0,100.0,1,0.5,1.0,0.75,Regular
50770874,Nelson,2015-12-07,Regular,100.0,96.0,1,1.0,0.96,0.98,Excelente
11176093,Anna,2014-01-10,Regular,50.0,88.0,1,0.5,0.88,0.69,Regular
147076322,Alvaro,2017-08-21,Superhost,100.0,100.0,1,1.0,1.0,1.0,Excelente
53336277,João Candido Furtado,2016-01-04,Regular,100.0,19.0,2,1.0,0.19,0.595,Crítico
95861363,Daniel,2016-09-19,Superhost,100.0,75.0,2,1.0,0.75,0.875,Bom
93035890,Cristina,2016-09-01,Regular,100.0,100.0,1,1.0,1.0,1.0,Excelente
500875602,Henrique,2023-02-13,Regular,,,1,,,,
