id,review_scores_rating,review_scores_cleanliness,review_scores_value,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,number_of_reviews,mean_score,bayesian_score,reviews_log,cluster,quality_zone
821198084644106078,4.93,4.99,4.85,4.97,4.97,4.94,4.99,86,4.948571428571428,4.925221915200331,4.465908118654584,100,Mercado Maduro Premium
821223043903573522,4.91,4.82,5.0,5.0,5.0,5.0,5.0,11,4.961428571428572,4.873293369026016,2.4849066497880004,95,Alta Qualidade Emergente
821227099948297881,4.93,4.88,4.85,4.93,4.94,4.99,4.94,89,4.922857142857142,4.904868494205301,4.499809670330265,100,Mercado Maduro Premium
821242614763878451,4.78,4.87,4.7,4.83,5.0,5.0,5.0,23,4.882857142857143,4.855862661390849,3.1780538303479458,100,Alta Qualidade Emergente
821254575358803002,5.0,5.0,5.0,5.0,5.0,5.0,4.88,8,4.982857142857143,4.869972760605335,2.1972245773362196,72,Alta Qualidade Emergente
821529031538759784,4.5,4.83,4.33,4.67,4.67,4.83,4.67,6,4.642857142857143,4.782827808124426,1.9459101490553132,-1,Ruído / Outliers
821552389384274282,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.833160959718677,0.6931471805599453,0,Alta Qualidade Emergente
821640990014497089,4.74,4.85,4.59,4.82,4.94,4.91,4.97,34,4.831428571428572,4.8289805848641425,3.5553480614894135,100,Mercado Maduro Premium
821647210258603432,4.57,4.27,4.53,4.73,4.83,4.73,4.93,30,4.655714285714287,4.723356174510417,3.4339872044851463,91,Mercado Maduro Premium
821650232568274382,4.97,4.89,4.98,4.95,4.98,5.0,5.0,62,4.967142857142856,4.932429723133528,4.143134726391533,100,Mercado Maduro Premium
821653791917384181,4.88,4.94,4.96,4.88,5.0,4.96,5.0,51,4.945714285714287,4.911659277824238,3.9512437185814275,100,Mercado Maduro Premium
821672187738594951,4.91,4.59,4.73,4.77,4.95,4.91,4.91,22,4.824285714285714,4.824539663532808,3.1354942159291497,100,Alta Qualidade Emergente
821675516470671454,4.33,3.67,4.33,5.0,5.0,5.0,5.0,3,4.618571428571428,4.797917149556804,1.3862943611198906,26,Mercado Maduro Premium
821689968416671717,4.62,4.6,4.54,4.49,4.57,4.63,4.89,63,4.619999999999999,4.669353977760147,4.1588830833596715,-1,Ruído / Outliers
821737968806867917,4.89,4.89,4.89,4.93,4.96,5.0,5.0,28,4.937142857142858,4.890341253210255,3.367295829986474,100,Alta Qualidade Emergente
821568077307009483,4.92,4.92,4.77,4.92,4.85,4.92,4.77,13,4.867142857142858,4.841492039301496,2.639057329615259,100,Alta Qualidade Emergente
821590210039236935,4.85,4.92,4.92,4.9,5.0,4.9,5.0,39,4.927142857142857,4.892456806485825,3.6888794541139363,100,Mercado Maduro Premium
821608275426250690,4.79,4.54,4.62,4.79,4.9,4.62,4.59,39,4.692857142857143,4.737589978398658,3.6888794541139363,91,Mercado Maduro Premium
822671773166080297,4.95,4.89,4.89,4.98,4.97,4.98,4.89,87,4.935714285714285,4.914986196366683,4.477336814478207,100,Mercado Maduro Premium
821755149984691762,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,5.0,4.847668702351836,1.3862943611198906,19,Alta Qualidade Emergente
821788905850645120,4.92,5.0,4.73,4.9,4.92,4.98,4.9,60,4.9071428571428575,4.886561894783296,4.110873864173311,100,Mercado Maduro Premium
821812188190574359,4.99,4.98,4.94,4.96,4.99,5.0,5.0,98,4.9799999999999995,4.953698136899086,4.59511985013459,-1,Ruído / Outliers
821827393204150243,5.0,5.0,4.67,5.0,5.0,4.67,5.0,3,4.905714285714287,4.835370565705873,1.3862943611198906,21,Alta Qualidade Emergente
821866172333881805,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.833160959718677,0.6931471805599453,0,Alta Qualidade Emergente
822685510524942076,4.88,4.91,4.77,4.88,4.94,4.94,5.0,32,4.902857142857143,4.872842475490785,3.4965075614664802,100,Mercado Maduro Premium
822704537524294809,5.0,4.89,5.0,5.0,5.0,5.0,5.0,9,4.984285714285714,4.874308675264264,2.302585092994046,81,Alta Qualidade Emergente
822719200537896226,5.0,4.5,5.0,5.0,5.0,5.0,5.0,2,4.928571428571429,4.834251045965231,1.0986122886681096,14,Alta Qualidade Emergente
822923206165045984,5.0,5.0,4.86,4.86,5.0,5.0,5.0,7,4.96,4.8598659316330455,2.0794415416798357,70,Alta Qualidade Emergente
822933221852279797,5.0,4.93,5.0,5.0,5.0,4.98,4.93,47,4.977142857142858,4.931673051340396,3.8712010109078907,100,Mercado Maduro Premium
822975577165224380,4.75,4.5,4.5,4.63,4.88,4.75,4.88,8,4.698571428571428,4.788748270809416,2.1972245773362196,73,Mercado Maduro Premium
823006609724442849,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,5.0,4.840744552458737,1.0986122886681096,13,Alta Qualidade Emergente
821882376192392832,4.95,4.67,4.9,5.0,5.0,5.0,5.0,21,4.9314285714285715,4.8794239061973705,3.091042453358316,100,Alta Qualidade Emergente
821901448108914706,4.89,4.67,4.89,4.78,4.89,5.0,4.89,9,4.8585714285714285,4.835293896939141,2.302585092994046,-1,Alta Qualidade Emergente
821919762296108728,4.94,4.83,4.72,4.78,4.78,4.83,4.83,18,4.815714285714286,4.8205062446565625,2.9444389791664403,100,Alta Qualidade Emergente
822117632836868358,4.75,4.68,4.78,4.68,4.93,4.95,4.95,40,4.817142857142857,4.819701573996775,3.713572066704308,100,Mercado Maduro Premium
822226711819307413,4.89,4.74,4.84,4.95,5.0,5.0,5.0,19,4.917142857142857,4.869797293328372,2.995732273553991,100,Alta Qualidade Emergente
822273769577233714,4.88,4.84,4.72,4.92,4.96,4.96,4.96,25,4.8914285714285715,4.8618243208845895,3.258096538021482,100,Alta Qualidade Emergente
822279186419422626,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,5.0,4.847668702351836,1.3862943611198906,19,Alta Qualidade Emergente
823049692966685108,4.0,3.5,3.5,4.5,4.5,4.5,4.0,2,4.071428571428571,4.756328968043153,1.0986122886681096,10,Mercado Maduro Premium
823129870553592125,4.81,4.94,4.75,4.81,5.0,5.0,4.75,16,4.865714285714286,4.842994686820022,2.833213344056216,100,Alta Qualidade Emergente
823160417475959104,5.0,4.5,4.5,5.0,4.5,5.0,5.0,2,4.785714285714286,4.821264032978218,1.0986122886681096,18,Alta Qualidade Emergente
823172255752210740,5.0,4.9,4.9,5.0,4.9,4.7,5.0,10,4.9142857142857155,4.8546412432316455,2.3978952727983707,88,Alta Qualidade Emergente
823196467733648565,4.93,4.93,4.79,5.0,5.0,5.0,5.0,14,4.95,4.876364122179183,2.70805020110221,100,Alta Qualidade Emergente
822290264162769441,4.92,4.9,4.98,4.96,4.92,4.98,4.54,48,4.885714285714286,4.867803909829087,3.8918202981106265,100,Mercado Maduro Premium
822308229712562091,4.71,4.67,4.67,4.81,4.95,4.76,4.95,21,4.788571428571429,4.806253174490054,3.091042453358316,100,Alta Qualidade Emergente
822326925348329980,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.833160959718677,0.6931471805599453,0,Alta Qualidade Emergente
822348980763140826,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.833160959718677,0.6931471805599453,0,Alta Qualidade Emergente
822350106068230989,3.0,4.0,4.0,2.0,4.0,4.0,5.0,1,3.7142857142857144,4.771936469922759,0.6931471805599453,8,Risco de Experiência
822377647367117016,4.8,4.7,4.8,4.8,5.0,4.9,5.0,10,4.857142857142857,4.8355936241840265,2.3978952727983707,87,Alta Qualidade Emergente
822390997023954939,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,5.0,4.847668702351836,1.3862943611198906,19,Alta Qualidade Emergente
823204046363424399,5.0,4.98,5.0,4.98,5.0,5.0,5.0,41,4.994285714285715,4.938722859668959,3.7376696182833684,100,Mercado Maduro Premium
823209109420817897,4.57,4.48,4.52,4.67,4.38,4.24,4.93,42,4.541428571428571,4.632844841195036,3.7612001156935624,-1,Ruído / Outliers
823218853348334508,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1,4.714285714285714,4.819555517541806,0.6931471805599453,5,Alta Qualidade Emergente
823254438554120967,5.0,5.0,4.86,5.0,5.0,5.0,5.0,14,4.9799999999999995,4.888717063355654,2.70805020110221,100,Alta Qualidade Emergente
823257705043568780,5.0,4.83,4.83,5.0,5.0,5.0,5.0,6,4.951428571428571,4.8540365993332175,1.9459101490553132,54,Alta Qualidade Emergente
822397767708721272,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,5.0,4.840744552458737,1.0986122886681096,13,Alta Qualidade Emergente
822398270129784998,4.87,4.91,4.89,4.88,4.93,4.93,4.89,108,4.8999999999999995,4.888252969953845,4.6913478822291435,100,Mercado Maduro Premium
822403457608123829,5.0,5.0,4.98,5.0,4.96,4.93,4.89,57,4.965714285714285,4.929118109607876,4.060443010546419,100,Mercado Maduro Premium
822419223687896993,4.56,4.44,4.33,4.78,4.89,4.89,4.89,9,4.682857142857143,4.780761877234707,2.302585092994046,82,Mercado Maduro Premium
822514794570618071,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.833160959718677,0.6931471805599453,0,Alta Qualidade Emergente
822545375906131566,4.58,4.67,4.21,4.63,4.63,4.42,5.0,24,4.591428571428572,4.697515133372226,3.2188758248682006,-1,Ruído / Outliers
823274175136842193,5.0,5.0,5.0,4.5,5.0,5.0,5.0,2,4.928571428571429,4.834251045965231,1.0986122886681096,14,Alta Qualidade Emergente
823289408365969827,4.98,5.0,4.94,4.96,5.0,4.98,4.94,53,4.971428571428572,4.9312615676685825,3.9889840465642745,100,Mercado Maduro Premium
823366227555969103,4.92,4.97,4.91,4.94,4.94,4.97,4.92,159,4.938571428571429,4.925861660876812,5.075173815233827,100,Mercado Maduro Premium
823460456152334504,4.97,4.91,4.9,4.93,4.98,4.98,4.97,124,4.948571428571428,4.931383592339926,4.8283137373023015,100,Mercado Maduro Premium
823686994584277432,4.88,4.84,4.75,4.88,4.91,4.97,4.75,32,4.854285714285714,4.8429523656006745,3.4965075614664802,100,Mercado Maduro Premium
823705398295275426,5.0,4.98,4.96,4.96,4.94,5.0,4.98,50,4.974285714285715,4.931580940976828,3.9318256327243257,100,Mercado Maduro Premium
822589735667270699,4.8,4.8,4.7,4.9,5.0,5.0,5.0,10,4.885714285714286,4.845117433707837,2.3978952727983707,88,Alta Qualidade Emergente
822591139780899686,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1,4.571428571428571,4.812752796453371,0.6931471805599453,4,Promissores Não Validados
822635832574787497,5.0,5.0,4.89,5.0,5.0,5.0,4.89,9,4.968571428571429,4.8694318279736235,2.302585092994046,83,Alta Qualidade Emergente
822638497702230193,4.9,4.9,4.7,4.83,4.87,4.83,4.93,30,4.851428571428571,4.840784745938987,3.4339872044851463,100,Alta Qualidade Emergente
822652569257291952,4.96,4.91,4.83,4.89,5.0,5.0,4.98,54,4.938571428571429,4.907827531039856,4.007333185232471,100,Mercado Maduro Premium
822658742350905647,4.79,4.75,4.83,4.75,4.89,4.89,4.83,63,4.8185714285714285,4.820076869326412,4.1588830833596715,100,Mercado Maduro Premium
823738271526760705,4.89,4.52,4.81,4.85,4.96,4.96,5.0,27,4.855714285714286,4.842567358901658,3.332204510175204,100,Alta Qualidade Emergente
823830698460966433,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,5.0,4.854015839753843,1.6094379124341003,32,Alta Qualidade Emergente
823859938386989073,4.96,4.96,4.89,5.0,5.0,5.0,4.91,46,4.96,4.919036062940791,3.8501476017100584,100,Mercado Maduro Premium
823900078017146495,4.81,4.81,4.81,4.75,5.0,4.94,5.0,16,4.8742857142857146,4.846804210629546,2.833213344056216,100,Alta Qualidade Emergente
823924620822312896,4.86,4.95,4.91,4.93,4.79,4.74,4.65,85,4.832857142857143,4.8313260694947555,4.454347296253507,100,Mercado Maduro Premium
823945802447992297,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,5.0,4.840744552458737,1.0986122886681096,13,Alta Qualidade Emergente
825412370125193442,4.82,4.64,4.82,4.89,5.0,5.0,4.96,28,4.875714285714286,4.854507919876922,3.367295829986474,100,Alta Qualidade Emergente
825426739290211453,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,5.0,4.865245390542008,1.9459101490553132,53,Alta Qualidade Emergente
825441208583495281,4.91,4.85,4.85,4.97,4.96,4.99,4.96,68,4.927142857142857,4.903887436815983,4.23410650459726,100,Mercado Maduro Premium
825443309086262862,4.68,4.71,4.75,4.86,4.89,4.86,4.86,28,4.801428571428572,4.811174586543587,3.367295829986474,100,Alta Qualidade Emergente
825474565721076418,4.56,4.67,4.48,4.68,4.81,4.81,4.83,63,4.691428571428571,4.723570845230027,4.1588830833596715,-1,Ruído / Outliers
825494967649850205,4.76,4.76,4.52,4.86,4.86,4.86,4.86,21,4.782857142857142,4.803326345221761,3.091042453358316,100,Alta Qualidade Emergente
825523186984512673,5.0,5.0,4.5,5.0,4.5,5.0,4.0,2,4.714285714285714,4.814770526484711,1.0986122886681096,17,Alta Qualidade Emergente
825547613862061307,4.95,4.9,4.9,4.9,4.95,5.0,5.0,21,4.942857142857143,4.885277564733957,3.091042453358316,100,Alta Qualidade Emergente
825579350483022914,4.99,4.97,4.94,4.94,4.98,5.0,4.97,99,4.970000000000001,4.945599833227666,4.605170185988092,100,Mercado Maduro Premium
823960567971265519,5.0,5.0,4.83,5.0,5.0,5.0,4.0,6,4.832857142857143,4.82667396197058,1.9459101490553132,62,Alta Qualidade Emergente
823962276085788623,4.81,4.75,4.56,4.88,4.69,4.66,4.97,32,4.76,4.784930387578696,3.4965075614664802,100,Mercado Maduro Premium
823966746235146666,4.85,4.62,4.62,4.92,4.85,4.69,4.85,13,4.771428571428571,4.803786411595868,2.639057329615259,100,Alta Qualidade Emergente
823980689372861631,5.0,5.0,4.5,5.0,5.0,5.0,5.0,2,4.928571428571429,4.834251045965231,1.0986122886681096,14,Alta Qualidade Emergente
825651909903870920,4.99,4.99,4.97,4.99,4.99,4.99,4.9,94,4.974285714285714,4.94806348506096,4.553876891600541,100,Mercado Maduro Premium
825776672953731111,4.83,4.72,4.83,4.72,4.94,4.89,5.0,18,4.847142857142858,4.835393462701675,2.9444389791664403,100,Alta Qualidade Emergente
825904352627996742,4.89,4.92,4.88,4.92,4.94,4.92,4.89,105,4.908571428571428,4.895171041232738,4.663439094112067,100,Mercado Maduro Premium
825908629292003667,4.75,4.71,4.72,4.82,4.9,4.89,4.98,89,4.824285714285714,4.824383566289181,4.499809670330265,100,Mercado Maduro Premium
